Increment,az1,Az1_Angle,KalAngleX1,az2,Az2_Angle,KalAngleX2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
14.4,186,0.011867187500000003,-64.11435419179134,-3751,-0.23932161458333337,159.16051644192757
21.6,255,0.01626953125,-64.08150518327353,-4160,-0.26541666666666675,159.1569108541507
28.8,223,0.014227864583333335,-64.26061851305693,-4168,-0.26592708333333337,159.1111358119133
36.0,236,0.015057291666666668,-64.46313385924384,-4212,-0.2687343750000001,159.15135001801684
43.2,220,0.014036458333333335,-64.6157470141422,-4150,-0.2647786458333334,159.12264991229955
50.4,212,0.013526041666666669,-65.07437509145039,-4216,-0.2689895833333334,159.15199951530315
57.6,218,0.013908854166666668,-65.33359619590196,-4163,-0.2656080729166667,159.19897968377992
64.8,189,0.012058593750000002,-66.00771472129786,-4177,-0.2665013020833334,159.24311808810495
72.0,253,0.016141927083333334,-65.79641376410154,-4191,-0.26739453125000007,159.29857948725805
79.2,147,0.009378906250000003,-66.80795224819734,-4097,-0.2613971354166667,159.30946086789982
86.4,199,0.012696614583333335,-66.99020186782421,-4179,-0.2666289062500001,159.37155649561282
93.60000000000001,277,0.01767317708333334,-66.31853128355462,-4215,-0.26892578125,159.49000620192476
100.8,196,0.012505208333333335,-66.6375675888769,-4141,-0.26420442708333336,159.53919674897452
108.0,243,0.015503906250000001,-66.16141026858796,-4215,-0.26892578125,159.59749864664977
115.2,222,0.014164062500000003,-66.05579218672574,-4196,-0.26771354166666667,159.65806859589816
122.4,197,0.012569010416666668,-66.36142650749666,-4156,-0.2651614583333334,159.72697220636087
129.6,206,0.013143229166666668,-66.61065332504648,-4192,-0.2674583333333334,159.81364862196594
136.8,263,0.01677994791666667,-65.942090317992,-4235,-0.2702018229166667,159.87032553065748
144.0,180,0.011484375000000003,-66.21053767729654,-4139,-0.26407682291666673,159.87491170795323
151.20000000000002,178,0.011356770833333333,-66.650069600428,-4211,-0.2686705729166667,159.94535793378157
158.4,297,0.018949218750000003,-65.58786925500397,-4209,-0.26854296875000006,160.01984548939268
165.6,120,0.00765625,-66.91858222186237,-4098,-0.26146093750000005,160.05421375267056
172.8,154,0.009825520833333335,-67.73176482823851,-4186,-0.26707552083333336,160.1254149802171
