Increment,az1,Az1_Angle,KalAngleX1,az2,Az2_Angle,KalAngleX2
0.0,5661.0,0.36118359375000003,128.88112506909457,0.0,0.0,-11.154455786161186
7.2,0.0,0.0,118.29234500712268,0.0,0.0,-10.114861465929357
14.4,0.0,0.0,108.20434441886086,0.0,0.0,-9.134482077874905
21.6,0.0,0.0,98.62356464619305,0.0,0.0,-8.212654799353805
28.8,0.0,0.0,89.5522595574105,0.0,0.0,-7.348405261198399
36.0,0.0,0.0,80.98899209345157,0.0,0.0,-6.540492146956278
43.2,0.0,0.0,72.92909488656487,0.0,0.0,-5.787448132289424
50.4,0.0,0.0,65.3650962532893,0.0,0.0,-5.0876173372607685
57.6,0.0,0.0,58.287112936701874,0.0,0.0,-4.439189466507901
64.8,0.0,0.0,51.68321102779596,0.0,0.0,-3.840230813125479
72.0,0.0,0.0,45.53973653446971,0.0,0.0,-3.2887123016204645
79.2,0.0,0.0,39.8416170906582,-9766.0,-0.6230911458333334,18.39713747555582
86.4,0.0,0.0,34.57263630925129,-10014.0,-0.6389140625000002,38.47052729555139
93.60000000000001,0.0,0.0,29.71568228211024,0.0,0.0,35.81688307663904
100.8,-2664.0,-0.16996875,11.390165043964476,0.0,0.0,33.24736314046637
108.0,-12910.0,-0.8236848958333335,29.80092714889434,0.0,0.0,30.768914701974765
115.2,-13043.0,-0.8321705729166667,46.93763566272986,0.0,0.0,28.387025568439952
122.4,-13023.0,-0.8308945312500001,62.842274719533116,0.0,0.0,26.105865670184798
129.6,-13048.0,-0.8324895833333333,77.56157042196799,0.0,0.0,23.928420133117157
136.8,-13040.0,-0.8319791666666668,91.13989966503361,0.0,0.0,21.856614034452395
144.0,-13039.0,-0.8319153645833335,103.62911181583596,0.0,0.0,19.891429021464138
151.20000000000002,-13027.0,-0.8311497395833334,115.07561945162473,0.0,0.0,18.033012005682586
158.4,-13014.0,-0.8303203125000002,125.52363424979453,0.0,0.0,16.28077617213126
165.6,-13034.0,-0.8315963541666668,135.03358138636,0.0,0.0,14.633494565438273
172.8,-13040.0,-0.8319791666666668,143.65215249986807,-2764.0,-0.17634895833333336,-0.7836297358401065
