Increment,az1,Az1_Angle,KalAngleX1,az2,Az2_Angle,KalAngleX2
0.0,0.0,0.0,108.45485841118708,0.0,0.0,-4.062419848283102
7.2,0.0,0.0,96.73128654872055,0.0,0.0,-4.32344508438584
14.4,0.0,0.0,85.79169731286777,0.0,0.0,-4.5235918401226325
21.6,0.0,0.0,75.61363728220614,0.0,0.0,-4.668956905061444
28.8,0.0,0.0,66.17229124495783,0.0,0.0,-4.765259376359234
36.0,0.0,0.0,57.44093714176523,0.0,0.0,-4.817848466996377
43.2,0.0,0.0,49.39135820378316,0.0,0.0,-4.831712839658085
50.4,0.0,0.0,41.99421475329201,0.0,0.0,-4.811491217273456
57.6,0.0,0.0,35.21937810299877,0.0,0.0,-4.761484043087411
64.8,0.0,0.0,29.036228946615587,0.0,0.0,-4.685665983856407
72.0,0.0,0.0,23.41392257901284,-9766.0,-0.6230911458333334,16.591973129955903
79.2,0.0,0.0,18.321623220908915,-10014.0,-0.6389140625000002,36.31913233428416
86.4,0.0,0.0,13.728709652211482,0.0,0.0,33.37598551072948
93.60000000000001,-2664.0,-0.16996875,-4.257852395006445,0.0,0.0,30.56870037038586
100.8,-12910.0,-0.8236848958333335,14.555353636297667,0.0,0.0,27.8994964579977
108.0,-13043.0,-0.8321705729166667,32.14753929670346,0.0,0.0,25.369396417458322
115.2,-13023.0,-0.8308945312500001,48.55115520030695,0.0,0.0,22.978365382100655
122.4,-13048.0,-0.8324895833333333,63.80426718194056,0.0,0.0,20.725440422841544
129.6,-13040.0,-0.8319791666666668,77.94341647924435,0.0,0.0,18.608850401159867
136.8,-13039.0,-0.8319153645833335,91.01339318595795,0.0,0.0,16.626126595818384
144.0,-13027.0,-0.8311497395833334,103.0542794512416,0.0,0.0,14.77420448901623
151.20000000000002,-13014.0,-0.8303203125000002,114.10463875339049,0.0,0.0,13.049517109800272
158.4,-13034.0,-0.8315963541666668,124.21988480425986,0.0,0.0,11.448080340554434
165.6,-13040.0,-0.8319791666666668,133.44229030923415,-2764.0,-0.17634895833333336,-3.907445671590237
172.8,5661.0,0.36118359375000003,118.85577386446262,0.0,0.0,-4.248765365816818
