Timestamp,Increment,KalAngleX1,ManualX1,KalAngleY1,KalAngleZ1,KalAngleX2,ManualX2,KalAngleY2,KalAngleZ2
2024-08-12 04:54:27.789,0.0,0,0,0,0,0,0
2024-08-12 04:54:28.529,7.2,0,0,0,0,0,0
2024-08-12 04:54:28.534,14.4,0,0,0,0,0,0
2024-08-12 04:54:28.538,21.6,0.0022356725861608735,-0.0041451416015625,0.0013984430297634925,-0.0003777835966556073,-0.0006764077507186261,-0.0029129638671875004,-0.001713055203834612,-0.003500780256299734
2024-08-12 04:54:28.541,28.8,0.007891911993987824,-0.005233764648437501,0.006859202400078634,0.004802404912964403,0.002057586830508384,-0.004110249837239584,0.0015747669026879045,-0.00043677938195773106
2024-08-12 04:54:28.546,36.0,0.009604370193144224,-0.0057701009114583335,0.008203392271230124,0.006315527176736083,0.007762048255751609,-0.004849955240885418,0.007322226171475723,0.00503842122247867
2024-08-12 04:54:28.555,43.2,0.010637126637768626,-0.006307434082031251,0.009218537447254899,0.006934132359189472,0.009184403642875504,-0.005803995768229168,0.008944061157551236,0.0063849168678690995
2024-08-12 04:54:28.559,50.4,0.012176262815824084,-0.0067161661783854175,0.010601417903925027,0.008288828715205303,0.010163854438930144,-0.006351298014322917,0.00980747498837676,0.007490168829753098
2024-08-12 04:54:28.565,57.6,0.013134323702068547,-0.006967386881510419,0.011829963671278684,0.009600064205166493,0.011691761286101667,-0.006664326985677085,0.011375459863336676,0.008994280552106167
2024-08-12 04:54:28.572,64.8,0.014040246854519944,-0.007238545735677084,0.01226599407736578,0.009943137396467254,0.012627359866687633,-0.007053120930989585,0.011962955358621023,0.009425569633054276
2024-08-12 04:54:28.576,72.0,0.038133188483698316,-0.0002572021484375,0.016856524264882548,-0.005189244667468031,0.013658262067528059,-0.007168762207031251,0.013512439776070296,0.010865463343278228
2024-08-12 04:54:28.581,79.2,0.03787192122255,-8.972167968750001e-06,0.01912439120842435,0.03355210976375039,0.014764282506483106,-0.007404032389322918,0.014814387996251168,0.012225331710489083
2024-08-12 04:54:28.588,86.4,0.0406955348202489,-1.0965983072916669e-05,0.017979469962536094,0.03336918150867082,0.01628898467556124,-0.007501729329427085,0.016030353443026793,0.01320820984429851
2024-08-12 04:54:28.593,93.60000000000001,0.043213815831160754,-1.2959798177083334e-05,0.015919133905449242,0.03280590916611709,0.01724495971157384,-0.007646280924479168,0.01725546349857692,0.014572803832446002
2024-08-12 04:54:28.598,100.8,0.045426810938329655,-1.5950520833333335e-05,0.01317237144986127,0.03108048543128609,0.01869050538711751,-0.007652262369791667,0.018691949602351647,0.015924740329584505
2024-08-12 04:54:28.606,108.0,0.04756345928726805,-1.2959798177083334e-05,0.01004367021231394,0.028956046599149778,0.0196161266168361,-0.007614379882812502,0.019770321155252107,0.016987919526752975
2024-08-12 04:54:28.610,115.2,0.049242414182208843,-1.495361328125e-05,0.005847724931883685,0.02564719586719544,0.020705010953023663,-0.0076891479492187526,0.02063291384516916,0.01766822140519466
2024-08-12 04:54:28.615,122.4,0.05084492414714826,-1.7944335937500002e-05,0.0009651752124986189,0.022461882912076913,0.0215991588718673,-0.007706095377604167,0.021650329156904777,0.01882432162897369
2024-08-12 04:54:28.622,129.6,0.05168438422241313,-1.6947428385416667e-05,-0.005137938708220929,0.017526326348114282,0.023132724840893317,-0.0076761881510416675,0.02341272597754907,0.020344311076841322
2024-08-12 04:54:28.631,136.8,0.05260010851517379,-1.8941243489583338e-05,-0.011698589978729395,0.010570111755047918,0.024350001542586285,-0.00776092529296875,0.024377131608189474,0.02127458390650401
2024-08-12 04:54:28.639,144.0,0.052905381285594404,-1.993815104166667e-05,-0.019403388388720366,0.0046240697459670275,0.02394698918239957,-0.007822733561197918,0.02409708439384462,0.02106583128771209
2024-08-12 04:54:28.646,151.20000000000002,0.05298170251601506,-1.7944335937500002e-05,-0.027260904901916055,-0.003964461000112666,0.025659407859796583,-0.007776875813802085,0.02590935138101419,0.022736745100773784
2024-08-12 04:54:28.654,158.4,0.053057967638954,-1.8941243489583338e-05,-0.035499680761312755,-0.012902162162217738,0.02494617822985594,-0.007832702636718751,0.025009225144142087,0.021946171136483825
2024-08-12 04:54:28.659,165.6,0.0525238223310465,-1.8941243489583338e-05,-0.044653707657334625,-0.0209315974685004,0.024317013293771613,-0.00785064697265625,0.02443636449478005,0.021306319014809182
2024-08-12 04:54:28.663,172.8,0.05176073258986353,-1.7944335937500002e-05,-0.05388397947531126,-0.031018495641790936,0.02535768619143436,-0.007744974772135419,0.025523830187222242,0.022410610820812367
