Timestamp,Increment,ax1,KalAngleX1,ManualX1,ay1,KalAngleY1,az1,KalAngleZ1,ax2,KalAngleX2,ManualX2,ay2,KalAngleY2,az2,KalAngleZ2
2024-08-13 06:25:15.504,0.0,0,0,0,0,0,0
2024-08-13 06:25:17.179,7.2,0,0,0,0,0,0
2024-08-13 06:25:17.184,14.4,0,0,0,0,0,0
2024-08-13 06:25:17.190,21.6,-0.2452392578125,0.040234904317450006,-0.004005574544270834,0.015380859375,0.00607109506852545,0.054443359375,-0.08463220493248443,-0.1787109375,-0.03925554117576381,-0.0029189453125000003,-0.010986328125,-0.0992422184231811,-0.064208984375,-0.20131201019749106
2024-08-13 06:25:17.198,28.8,-0.3194580078125,0.3203864300022889,-0.005217814127604167,-0.0352783203125,0.26573795143687673,0.084716796875,0.14304861563166402,-0.27227783203125,-0.0012347542148100975,-0.004447204589843751,-0.05267333984375,-0.05263656829460857,-0.03265380859375,-0.1621748126779283
2024-08-13 06:25:17.207,36.0,-0.36090087890625,0.5354681897570374,-0.005894714355468751,-0.0382080078125,0.44657271634302126,0.1044921875,0.35017714076517775,-0.30462646484375,0.3193816875951128,-0.0049755655924479175,-0.04437255859375,0.2922891772416069,0.0552978515625,0.1850665693695698
2024-08-13 06:25:17.215,43.2,-0.3863525390625,0.6086966953881983,-0.006310424804687501,-0.01824951171875,0.5362169697892415,0.10076904296875,0.41685096049367004,-0.3507080078125,0.5286773946173186,-0.005728230794270833,-0.059326171875,0.5211836514208107,0.04376220703125,0.3687261067915413
2024-08-13 06:25:17.225,50.4,-0.40447998046875,0.6981276330428474,-0.006606506347656252,-0.00762939453125,0.6164765553274071,0.101318359375,0.4899136668177988,-0.38714599609375,0.5905730614796041,-0.006323384602864583,-0.0819091796875,0.5650606880485929,-0.00128173828125,0.4320631435976173
2024-08-13 06:25:17.239,57.6,-0.428955078125,0.7421584280910586,-0.0070062662760416675,-0.02227783203125,0.6621041482479719,0.0751953125,0.5161274471875631,-0.41558837890625,0.6714314300014033,-0.006787943522135419,-0.099365234375,0.6469295855114287,-0.0374755859375,0.5123506310566809
2024-08-13 06:25:17.279,64.8,-0.44091796875,0.8000171815334066,-0.007201660156250002,-0.028076171875,0.7050230680078927,0.05615234375,0.5627027908139697,-0.42462158203125,0.7170550160984435,-0.006935485839843752,-0.091064453125,0.6916070444239363,-0.048583984375,0.5670630051456954
2024-08-13 06:25:17.300,72.0,-0.45660400390625,0.8740197755841684,-0.007457865397135417,-0.05096435546875,0.7747022746428475,0.059326171875,0.6252206303413631,-0.44268798828125,0.7797417498827497,-0.007230570475260417,-0.09698486328125,0.7636904245701772,-0.04248046875,0.6300831245852324
2024-08-13 06:25:17.311,79.2,-0.46209716796875,0.936889950339967,-0.0075475870768229175,-0.04449462890625,0.8358077102317836,0.0389404296875,0.717718129722087,-0.4454345703125,0.8540386980773603,-0.007275431315104167,-0.08642578125,0.840444498112847,-0.0648193359375,0.7081355885203999
2024-08-13 06:25:17.324,86.4,-0.46075439453125,1.0200732130102224,-0.007525655110677085,-0.03515625,0.9095597540385764,0.0311279296875,0.7488383211892176,-0.4534912109375,0.9202730758435352,-0.007407023111979168,-0.1016845703125,0.8974823062122779,-0.07098388671875,0.7285055148622421
2024-08-13 06:25:17.342,93.60000000000001,-0.46820068359375,1.050242258032126,-0.007647277832031251,-0.0477294921875,0.9434932452971648,0.0244140625,0.7987593171133863,-0.46478271484375,1.002742322692156,-0.007591451009114585,-0.12432861328125,0.9870446245459824,-0.0927734375,0.8505976937290678
2024-08-13 06:25:17.351,100.8,-0.4676513671875,1.1536488288418973,-0.007638305664062502,-0.052001953125,1.0291164346433672,0.02154541015625,0.8619263544793071,-1.5625,0.36228223490344874,-0.02552083333333334,1.625,4.825869992248028,0.0,4.777209295632089
2024-08-13 06:25:17.364,108.0,0,0,0,0,0,0
2024-08-13 06:25:17.375,115.2,0,0,0,0,0,0
2024-08-13 06:25:17.379,122.4,0,0,0,0,0,0
2024-08-13 06:25:17.383,129.6,0,0,0,0,0,0
2024-08-13 06:25:17.390,136.8,0,0,0,0,0,0
2024-08-13 06:25:17.393,144.0,0,0,0,0,0,0
2024-08-13 06:25:17.397,151.20000000000002,0,0,0,0,0,0
2024-08-13 06:25:17.402,158.4,0,0,0,0,0,0
2024-08-13 06:25:17.410,165.6,0,0,0,0,0,0
2024-08-13 06:25:17.418,172.8,0,0,0,0,0,0
