Timestamp,Increment,az1,Az1_Angle,KalAngleX1,az2,Az2_Angle,KalAngleX2
2024-06-01 03:31:59.954,0.0,0,0,0,0,0,0
2024-06-01 03:32:02.385,7.2,0,0,0,0,0,0
2024-06-01 03:32:02.393,14.4,710,0.04529947916666668,0.00951371968649899,-5800,-0.37005208333333345,0.45402655203401315
2024-06-01 03:32:02.400,21.6,742,0.047341145833333334,0.013957557476890684,-6195,-0.39525390625000006,1.365788257800125
2024-06-01 03:32:02.415,28.8,726,0.04632031250000001,0.07072667791100698,-6257,-0.39920963541666676,2.752109659674744
2024-06-01 03:32:02.415,36.0,731,0.04663932291666667,0.04629527275253773,-6240,-0.39812500000000006,4.6596769595258
2024-06-01 03:32:02.431,43.2,725,0.04625651041666668,0.10631544631514703,-6261,-0.3994648437500001,7.131696470968659
2024-06-01 03:32:02.431,50.4,742,0.047341145833333334,0.1215344975090234,-6242,-0.39825260416666675,10.23675190924889
2024-06-01 03:32:02.446,57.6,734,0.046830729166666675,0.1753097695039023,-6249,-0.39869921875000003,14.038234255361083
2024-06-01 03:32:02.462,64.8,732,0.046703125000000005,0.1929261377669992,-6254,-0.3990182291666667,18.59270965244874
2024-06-01 03:32:02.466,72.0,725,0.04625651041666668,0.251079674930867,-6259,-0.3993372395833334,23.952262959717004
2024-06-01 03:32:02.484,79.2,738,0.04708593750000001,0.3113087296801003,-6258,-0.39927343750000005,30.145053689332983
2024-06-01 03:32:02.492,86.4,732,0.046703125000000005,0.3373612055359021,-6239,-0.39806119791666666,37.16812334224423
2024-06-01 03:32:02.501,93.60000000000001,723,0.046128906250000004,0.6720091431114962,-6261,-0.3994648437500001,44.9677494962062
2024-06-01 03:32:02.511,100.8,721,0.04600130208333334,0.544649585089136,-6227,-0.39729557291666673,53.5075707277174
2024-06-01 03:32:02.511,108.0,730,0.04657552083333335,0.7864460735158347,-6257,-0.39920963541666676,62.644427725691166
2024-06-01 03:32:02.526,115.2,729,0.046511718750000014,1.0577525858453654,-6243,-0.3983164062500001,72.27882216518762
2024-06-01 03:32:02.542,122.4,694,0.044278645833333345,1.1309407979079513,-6230,-0.3974869791666668,82.24210708921487
2024-06-01 03:32:02.542,129.6,698,0.04453385416666667,1.2445337313009481,-6230,-0.3974869791666668,92.35684936792069
2024-06-01 03:32:02.557,136.8,707,0.045108072916666665,1.4881117679298346,-6214,-0.3964661458333334,102.45772668590641
2024-06-01 03:32:02.573,144.0,702,0.044789062500000004,1.4773644897892921,-6229,-0.3974231770833334,112.40024416216993
2024-06-01 03:32:02.581,151.20000000000002,695,0.04434244791666668,1.4972021995218723,-6228,-0.39735937500000007,122.05647005597721
2024-06-01 03:32:02.589,158.4,743,0.047404947916666676,2.2724126196539323,-6262,-0.39952864583333336,131.1992637434088
2024-06-01 03:32:02.601,165.6,688,0.043895833333333335,1.8943808293499176,-6205,-0.39589192708333343,139.86058981325363
2024-06-01 03:32:02.609,172.8,709,0.04523567708333334,2.2334397009773475,-6238,-0.3979973958333334,147.87738064470858
